unique_id,cutoff,metric,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,Chronos
hotel_133,2023-04-07,bias,0.11943793911007027,0.10772833723653395,0.07290523100075573,0.08665877321625486,0.023387326847981085,,,
hotel_133,2023-05-05,bias,0.10421545667447309,-0.057377049180327856,0.03839387742132416,-0.003014292903558452,-0.06177976089112978,,,
hotel_133,2023-06-02,bias,0.03395784543325526,-0.005854800936768156,-0.012567900491439077,-0.03528746759492723,-0.03854377284154771,0.0018965755120373526,-5769.425370888632,0.03718358533025068
hotel_133,2023-02-10,mae,0.1762295081967213,0.16920374707259953,0.162097464570587,0.14759210558958438,0.14759328628505702,,,
hotel_133,2023-03-10,mae,0.0930913348946136,0.0989461358313817,0.12586338862725927,0.1981834898335328,0.14587040671993515,,,
hotel_133,2023-04-07,mae,0.11943793911007027,0.11124121779859486,0.0988210467105025,0.10305208415601119,0.07518267100133014,,,
hotel_133,2023-05-05,mae,0.10421545667447309,0.09367681498829039,0.061340103210079114,0.04860878250528733,0.07941546735070697,,,
hotel_133,2023-06-02,mae,0.04449648711943794,0.06323185011709603,0.05278478860977046,0.06271990550326256,0.06270184329482562,0.04784461314979705,11195.069079629151,0.046600709091304905
hotel_133,2023-02-10,rmse,0.20397911360809504,0.2063184001018843,0.19504122356882503,0.18053142599471877,0.1957704834731227,,,
hotel_133,2023-03-10,rmse,0.09908980326950835,0.11703159820453807,0.14223315766858954,0.2112440805163416,0.16516347336171477,,,
hotel_133,2023-04-07,rmse,0.17047829166420045,0.1552129703009789,0.11838364811722787,0.1388680773219572,0.09016462100741758,,,
hotel_133,2023-05-05,rmse,0.13532571628284468,0.12094380640445299,0.07648027254695536,0.05685273239199561,0.10406058987169967,,,
hotel_133,2023-06-02,rmse,0.06528037407384708,0.08161516905492565,0.06079957722659537,0.07331946504960286,0.07426548813601662,0.06249296360180956,13589.257945514992,0.06701268265182685
hotel_133,2023-02-10,mape,0.24393878924737114,0.25828371687597995,0.22073995601217722,0.2263042589733315,0.2637284800270962,,,
hotel_133,2023-03-10,mape,0.09793510583619625,0.10221412499095184,0.1314950389723623,0.20753425495948571,0.1525022406365363,,,
hotel_133,2023-04-07,mape,0.1597895882150373,0.14732537258854395,0.12500686846459655,0.1353230230079818,0.0935940757175202,,,
hotel_133,2023-05-05,mape,0.12743175816287233,0.10685528770870403,0.0723627292334419,0.05538337741664125,0.08749474975508362,,,
hotel_133,2023-06-02,mape,0.05007461169007826,0.06872069350734562,0.056191855231958694,0.06650999357703023,0.0662220778689593,0.05188283779748341,11902.345056269221,0.052333631256334535
hotel_14,2023-02-10,bias,-0.0539083557951482,-0.06603773584905659,-0.046033903206538426,-0.06853984907685085,-0.009537422772141988,,,
hotel_14,2023-03-10,bias,0.16071428571428575,0.012466307277628054,0.07920371631398851,0.024164123266496175,0.06434960155452603,,,
